Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8
노동자,배송,확진자,감염,판매,기업,온라인,등교
시간,서비스,물류센터,방역,제품,투자,쇼핑,학교
배달,새벽,부천,확진자,온라인,스타트,서비스,수업
플랫폼,상품,검사,수도권,매출,창업,업체,학생
노동,주문,판정,집단,상품,지원,시장,학년
사람,배달,관련,발생,구매,대표,거래,교육
사회,온라인,감염,확산,가격,국내,결제,초등학교
회사,물류,확진,대책,라인,성장,업계,감염
고용,고객,교회,중앙,오프,혁신,기업,부천
택배,로켓,발생,환자,백화점,기술,투자,확진자
기사,업체,접촉,신규,행사,사업,매출,연기
직원,시간,추가,관련,유통업체,개발,네이버,지역
문제,식품,직원,상황,마스크,시장,상품,시작
정규,물류센터,인천,물류센터,쇼핑,유니콘,국내,유치원
업무,구독,코로나바이러스,당국,소비자,대구,이용,확산
일자리,시장,근무,본부,사용,제공,위메프,중지
노동조합,이용,방역,전파,매장,벤처기업,플랫폼,중학교
우리,택배,격리,마스크,관련,규모,고객,발생
계약,시작,신종,사례,소비,글로벌,규모,인천
물량,신선,환자,클럽,제공,서비스,브랜드,수도권
