date,news_title
2013.12.18,"위메프, 방문자수 급증…소셜업계 선두 위협"
2013.12.24,"항공권 못 산 인도네시아 군수, 공항 폐쇄로 화풀이"
2013.12.30,"""위메프 모바일 앱 성장률 1위""<닐슨코리안클릭>"
2014.01.06,"소셜커머스, 지난해 50% 이상 급성장"
2014.01.06,<연합뉴스 이 시각 헤드라인> - 08:00
2014.01.07,"워터베어, 교육용 앱 패키지 '스마트러닝패스' 판매"
2014.01.07,우주전쟁 애니 '캡틴 하록' 부천서 11일 무료 상영
2014.01.12,"위메프 ""12월 통합방문자수 소셜 업계 1위"""
2014.01.21,"<쇼핑정보> 비상교육, 수능 플래너 1천원에 판매"
2014.01.23,"""물건 사려면 정보 내놔""…기업들 안방까지 엿본다"
2014.01.23,"<""물건 사려면 정보 내놔""…기업들 안방까지 엿본다>(종합)"
2014.01.27,"""모바일 소셜커머스 접속, 포털 다음 추월"""
2014.02.12,"위메프, 지난달 PC·모바일부문 순방문자 1위"
2014.02.14,"쿠팡, BS10012 개인정보보호 인증 획득"
2014.02.21,"쿠팡, 믿고 거래할 수 있는 '안심 사이트' 인증"
2014.03.06,"<쇼핑정보> 쿠팡, 저렴한 자녀용 학습용 컴퓨터"
2014.03.07,서울 독산동 코카콜라 물류 터에 지식산업센터 완공
2014.03.17,"쿠팡, 상반기 300명 공채 실시"
2014.03.19,뮤지컬 배우 김도현의 토크 콘서트 '쫑파티' 첫선
2014.03.23,"소셜커머스 위메프, 쿠팡 비하 광고로 공정위 제재"
2014.03.31,삼성 '갤럭시' 브랜드가치 4년 연속 1위
2014.04.04,"파크론 ""놀이방매트 10년 전 가격으로 판매"""
2014.04.08,"쿠팡 ""2층 버스타고 서울 도심관광 하세요"""
2014.04.14,<표> 서울시 2013년 인터넷 쇼핑몰 평가-2
2014.05.08,"코이카, 각계 전문가 16명 홍보전문위원으로 위촉"
2014.05.09,'우리가 코이카 홍보 전문위원'
2014.05.15,"쿠팡, 실리콘밸리 기술업체 '캄씨' 인수"
2014.05.22,"""짝퉁 꼼짝마""…위조상품유통방지협의회 출범"
2014.05.29,"쿠팡, 美 세쿼이아캐피탈서 1억弗 투자 유치"
2014.05.29,"쿠팡, 美세쿼이아 캐피털서 1천억 투자 유치(종합)"
2014.05.30,지식재산 보호·나눔 위한 민-관 협력 확대
2014.06.01,"5년차 소셜커머스, 체력보강 후 재도약 시동"
2014.06.11,"<여행정보> 한화리조트, 블로그 여행전문으로 새 단장"
2014.06.30,"""카카오톡 브랜드, 갤럭시·이마트 이어 빅3 도약"""
2014.07.04,온라인 쇼핑·유통 브랜드가치 경쟁 치열
2014.07.07,"<게시판> 쿠팡·초록우산, 아동 후원 업무협약"
2014.07.08,보령머드축제 열흘 앞으로…열기 고조
2014.07.14,내수부진은 '남의 말'…소셜커머스 초고속 성장
2014.07.22,<게시판> BC카드 '메가쇼핑 체크카드' 발행협약
2014.07.28,걸그룹 크레용팝 실화 담은 만화책 나온다
2014.08.04,"11번가 ""PC·모바일 순방문자 모두 1위"""
2014.08.12,박상원·엄홍길·송종국 등 우즈베크서 봉사 펼친다
2014.08.18,박상원 등 코이카 단기봉사단 우즈베크서 활동 개시
2014.08.20,어르신들에게 대접할 음식 만드는 봉사단원들
2014.08.20,고려인 독거노인 거주 요양원에 울려 퍼진 아리랑
2014.08.25,13차 세계한상대회 내달 24일 부산서 개막
2014.08.30,"하나투어, 쿠팡에 해외항공권 서비스 선보여"
2014.09.22,"쿠팡, 신입 소프트웨어 개발자 공채"
2014.09.30,"""BMW 브랜드 가치 급상승…5위 도약"""
2014.09.30,"애완동물 사육인구 1천만…""6조원 시장 잡아라"""
2014.10.13,"정무위, 삼성물산 대표 등 30명 추가 증인채택"
2014.10.19,유통가 핼러윈 마케팅 본격 시동
2014.10.20,소셜커머스 3사 국감 출석
2014.10.27,'빅데이터 잡 콘서트' 30일 서울 중앙대서 개최
2014.11.05,"""위메프, 소셜커머스 부문 브랜드평가 첫 1위"""
2014.11.30,"""삼성 갤럭시, 4년 연속 국내 브랜드 가치 1위"""
2014.12.01,올해 인기 검색어는 '날씨' '세월호' 등(종합)
2014.12.03,구글이 선정한 '2014년 최고의 앱' 30개는
2014.12.04,구글플레이서 최고 매출올린 영화는 '겨울왕국'
2014.12.08,"아쿠아플라넷, '패밀Re 메모Re'·'내 귀에 캔들'패키지 판매"
2014.12.10,'비행기 돌려세운 땅콩'…마카다미아 잘 팔린다
2014.12.11,"쿠팡, 美블랙록 주도 3억달러 투자 유치"
2014.12.16,"KTB투자증권 ""다음카카오, 펀더멘털 여전히 양호"""
2014.12.17,"쿠팡, 월 거래액 2천억원 첫 돌파"
2014.12.17,"한화리조트 양평, 19일 눈썰매장 개장"
2014.12.23,도서정가제 한달…시장은 일단 '연착륙' 분위기
2014.12.30,"""소셜커머스 3사, 올해의 쇼핑 앱 탑3에 올라"""
2014.12.30,경제 관련 모바일앱 성장세…'톱100' 중 20% 차지
2015.01.15,"쿠팡 ""모바일앱 이용자수 전자상거래부문 1위"""
2015.01.16,"""모바일 앱 이용시간 중 40%는 SNS 앱 차지"""
2015.01.19,"쿠팡, 김철균 전 청와대 비서관 부사장 선임"
2015.01.20,"연초 여성은 요가, 남성은 근육운동 용품 샀다"
2015.01.21,'채용 갑질' 위메프 방문자 빅3 중 꼴찌로 밀려나
2015.02.03,"'땅콩회항' 대한항공, 소셜커머스에도 저가항공권 공급"
2015.02.03,"쿠팡, 작년 모바일거래 2.3배로 불어…1조4천억"
2015.02.08,"30대 여성 엄지족, 모바일 쇼핑 '폭발성장' 이끈다"
2015.02.13,"""부모님 것도 함께 터치해요""…모바일 효도구매 급증"
2015.02.15,"""모바일쇼핑에 눈뜬 아빠""…남성복보다 여성복 더산다"
2015.02.17,'설빔도 패스트패션' 저가 아동한복 인기
2015.02.17,<연합뉴스 이 시각 헤드라인> - 08:00
2015.02.20,'1조원 클럽' 신생기업 73개…쿠팡·옐로모바일 올라
2015.03.05,"쿠팡 ""봄 준비…바람막이·원피스 판매 급증"""
2015.03.11,'드론 날리기'에 푹빠진 30·40대…판매 2~3배로 급증
2015.03.11,"<쇼핑정보> 쿠팡, 이스타항공 일본·홍콩행 특가판매"
2015.03.17,"쿠팡 ""상반기 중 생필품 2시간내 배송 서비스"""
2015.03.17,"쿠팡 ""상반기 중 생필품 2시간내 배송 서비스""(종합)"
2015.03.25,"'액티브X' 없는 간편결제, 온라인몰의 대안은"
2015.03.31,"""'땅콩회항' 여파…대한항공 브랜드 가치 급락""<브랜드스탁>"
2015.04.01,"<쇼핑정보> 쿠팡, 맥도날드 빅맥 '1＋1' 쿠폰"
2015.04.03,"허경환 닭가슴살 소시지, 소셜커머스서 10만개 완판"
2015.04.05,온라인이 대형마트 제쳤다…유통채널 1위 역전
2015.04.09,본격 나들이철 사고 '조심'…안전용품 판매 급증
2015.04.12,불법·불량제품 적발시 온라인 유통 실시간 차단
2015.04.13,"""롯데월드 24일 밤샘 '게임파크'로 변신"""
2015.04.13,"<여행정보> 아쿠아플라넷 일산, '꽃박람회 패키지' 판매"
2015.04.14,"국토부 ""소셜커머스 쿠팡 '로켓배송'서비스 일부 불법"""
2015.04.14,"쿠팡 ""작년 1천215억원 영업적자…물류투자 탓"""
2015.04.15,"""美 사모펀드 KKR, 韓 티켓몬스터 인수 나선다"""
2015.04.15,"""미 사모펀드 KKR, 티켓몬스터 인수 나서""(종합)"
2015.04.15,티몬-위메프 '소셜커머스 2위' 놓고 순위 논쟁
2015.04.16,"가격경쟁 지친 유통업계 ""배송 차별화로 승부"""
2015.04.17,'매출 과장 논란' 위메프 결국 매출액 수정
2015.04.17,'매출 과장 논란' 위메프 결국 매출액 수정(종합)
2015.04.21,제주공항 체류객에 운항정보 전파 전면 시행 난항
2015.04.22,쿠팡-택배업계 '소액상품 유료택배' 갈등
2015.04.25,<부고> 김철균(쿠팡 부사장)씨 부친상
2015.04.28,"국방부, 전역예정 장병 취업박람회 연다"
2015.04.29,소셜커머스 제주관광상품 거래 급증…2년새 5배↑
2015.05.04,부산은행 바우처형 국민행복카드 발급
2015.05.14,"앨범 안사고, 셀카봉 사고…스마트폰이 바꾼 '쇼핑지형'"
2015.05.15,"<쇼핑정보> 쿠팡, 패션·뷰티 전문관 '쇼룸' 개설"
2015.05.18,쇼핑몰·포털 가입 때 개인정보 수집 함부로 못한다
2015.05.18,'매출 170조' 中 알리바바 국내상륙하나…업계 초긴장
2015.05.18,'매출 170조' 中 알리바바 국내상륙하나…업계 초긴장(종합)
2015.05.19,쿠팡 '로켓배송' 강화…7월말까지 800명 추가채용
2015.05.21,"바캉스 최고 인기…국내 '전주', 해외 '괌'"
2015.05.26,"'무료택배' 논란 쿠팡, 9천800원이상만 배송"
2015.05.28,"'제시카 알바' 패션 기저귀, 쿠팡서 만난다"
2015.05.28,"제시카 알바 ""아이에게 좋은 제품 찾다가 창업"""
2015.06.03,"호주 ""난민 수용 불가""…66명 탄 선박 공해로 내몰아"
2015.06.03,"쿠팡 ""日소프트뱅크서 1조1천억원 투자 유치"""
2015.06.03,"쿠팡 ""日소프트뱅크서 1조1천억원 투자 유치""(종합)"
2015.06.03,"쿠팡 ""日소프트뱅크서 1조1천억원 투자 유치""(종합2보)"
2015.06.03,"日 소프트뱅크, 쿠팡에 10억달러 투자 배경 뭘까"
2015.06.04,<주요 신문 사설>(4일 석간)
2015.06.05,<주요 신문 사설>(5일 조간)
2015.06.09,"쿠팡-현대차 ""5천원 기부하고 투싼 시승하고"""
2015.06.12,"쿠팡, 스위스 유기농 홀레분유 독점 판매"
2015.06.14,CJ오쇼핑도 배송경쟁 가세…당일 배송 서비스 확대
2015.06.14,농협·쿠팡 손잡고 농산물 직배송
2015.06.16,"일본, 아베노믹스 타고 해외기업 '쓸어담기' 나섰다"
2015.06.17,소셜아울렛 쇼핑몰 '디자인링크' 서비스 개시
2015.06.22,"아이라이크캠핑, 모바일 쇼핑몰 '마켓' 오픈"
2015.06.24,"'1조원 클럽' 스타트업, 중국 15개…한국은 2개"
2015.06.25,노출많은 여름…남성 몸매관리용품 판매 급증
2015.06.29,"쿠팡, 장마철 대비 자동차용품 판매전"
2015.06.29,10살 맞은 국내 최초 액체세제 피죤 '액츠'
2015.06.30,메르스 여파로 온라인쇼핑 뜨고 레저 브랜드 하락
2015.07.01,"쿠팡, 이번엔 반품비 불법논란…""배송비"" vs ""실비"""
2015.07.02,"KDB대우 ""고령화·1인가구↑…'빠른배송' 편의점 수혜"""
2015.07.02,이랜드 한강유람선 2척 붙여 'DJ 파티'
2015.07.05,`쿠팡 기저귀 패션시대'
2015.07.06,<전국 주요 신문 톱뉴스>(6일 조간)
2015.07.06,한강에서 즐기는 축제 '한강몽땅 여름축제' 17일 개막
2015.07.15,농협·쿠팡 우리농산물 소비촉진 MOU 체결식
2015.07.16,"쿠팡, '제시카 알바 기저귀' 홀트아동복지회 기부"
2015.07.23,"쿠팡, 지난 3년 전자상거래 모바일앱 이용자 1위"
2015.07.27,'경인아라뱃길 개통 3년' 물류단지 분양대금 1조1천억원 돌파
2015.07.28,겨울추위 막는 뽁뽁이…여름에도 잘 나간다
2015.08.03,'피부 익었다'…배우 제시카 알바 선크림에 비난 폭주
2015.08.07,창업사-투자자 연결해주는 '창조경제 데모데이' 열려
2015.08.11,"농협 대표 ""신선 농축산물 2∼3시간내 총알 배송"""
2015.08.13,김천에 쿠팡 물류센터 건립…2천여명 고용 전망
2015.08.13,"""공무원의 창의를 허하라"" 행자부 워크 스마트 포럼"
2015.08.13,김천 쿠팡 물류센터 건설
2015.08.17,2분기 벤처캐피털 자금 亞에 100억달러…246% 증가
2015.08.24,"정준 등 기업가 17명, 전국 혁신센터 창업대사 위촉"
2015.08.26,"쿠팡, 판매자-소비자 중개 서비스도"
2015.08.27,<전국 주요 신문 톱뉴스>(27일 조간)
2015.09.02,"농협, 쿠팡 '로켓배송' 통해 농산물 판매"
2015.09.03,"열흘이상 배송 끌다가 ""품절"" 통보…온라인쇼핑 주의"
2015.09.03,"쿠팡, 광주시와 물류센터 건립 협약"
2015.09.06,쿠팡 광주투자로 생길 일자리는…'연봉 4천만원대·1천300명'
2015.09.07,"무아스, 탱그램 팩토리 스마트로프 독점 판매"
2015.09.10,소셜커머스 '갑질' 논란…독점공급 요구·늑장 지급
2015.09.12,"김영환 ""소셜커머스社 재무상태 불량…판매업자 피해 우려"""
2015.09.13,물류기업 청년채용 박람회…쿠팡맨 등 현장채용
2015.09.14,초특가 '추석팡'으로 한가위 준비하세요
2015.09.14,"""취업만 된다면""…채용박람회 발품 파는 청년들 북적"
2015.09.14,국정감사 출석한 소셜커머스 업체 관계자들
2015.09.14,"신동빈도 나가는데…쿠팡 김범석 ""농구하다 다쳐 국감불참"""
2015.09.14,"'갑질 논란' 쿠팡 김범석 ""농구하다 다쳐 국감불참""(종합)"
2015.09.15,과일·채소도 인터넷으로…온라인 신선식품 구매↑
2015.09.15,국내 최대 모바일 전시회 '글로벌 모바일 비전' 개최
2015.09.15,한라봉 넣은 탄산수 '제주 스파클링' 시판
2015.09.16,"'또 갑질논란' 쿠팡…""짝퉁판매·허풍보장에 업체 도산"""
2015.09.16,< SNS돋보기> 온라인쇼핑사이트 쿠팡 '갑질' 논란에 설왕설래
2015.09.17,'쿠팡 직원 과로사' 허위 찌라시 만든 옥션 직원 덜미
2015.09.23,과일세트 무게표시 '뻥튀기' 논란…포장만 1㎏ 넘어
2015.09.23,"이베스트 ""한국사이버결제, 고성장 기대…목표가↑"""
2015.10.04,브랜드가치 수입차 하락세 완연…모바일 분야 약진
2015.10.04,"""인터넷 쇼핑 아직은 모바일보다 PC가 중심"""
2015.10.06,탈스펙 능력중심 채용문화 中企로 확산한다
2015.10.13,결혼·이사시즌 맞아 실내장식 소품 '불티'
2015.10.18,<과학정상회의> 대전 찾는 세계 주요 명사들
2015.10.26,"""한국 M&A, 올해 기록적 규모로 활황"""
2015.10.28,"쿠팡 ""쿠팡맨 사칭글 유포자 경찰 인계"""
2015.10.29,모국 무역스쿨서 꿈 키우는 월드옥타 차세대 유망주들
2015.11.03,"쿠팡, 로켓배송 '올인'…1조5천억원 투자"
2015.11.03,향후 사업전략 발표하는 김범석 쿠팡 대표
2015.11.03,"쿠팡 ""2017년까지 1조 5천억원 투자해 일자리 4만개 창출"""
2015.11.03,"쿠팡, 2017년까지 1조 5천억원 투자해 일자리 4만개 창출"
2015.11.03,"쿠팡, 로켓배송 '올인'…1조5천억원 투자(종합)"
2015.11.04,<전국 주요 신문 톱뉴스>(4일 조간)
2015.11.04,"""쿠팡 로켓배송 불법"" vs ""택배사 딴죽걸기"" 공방"
2015.11.05,<주요 신문 사설>(5일 조간)
2015.11.08,"취업성공 글에 살인암시 댓글단 20대 ""구직 스트레스에…"""
2015.11.09,<전국 주요 신문 톱뉴스>(9일 조간)
